 mean supply time over 150 iterations,,,D1,D2,,,,,,,,,,,,,
version3,version2,version1,V3-V2,V2-V1,Mean(D1),Mean(D2),,,SD1^2,SD2^2,,"רבס""ים",,,,,
29.22898701,8.890682156,2.779832003,20.33830485,6.110850153,,,0.058071827,0.112303066,,,,,,,,,
30.20593488,8.728110657,2.751376182,21.47782422,5.976734475,,,0.80737126,0.040401329,,,,,,,,,
29.88710813,8.427743117,3.067334778,21.45936501,5.360408339,,,0.774539384,0.17249512,,,,,,,,,
29.19246626,10.42955053,2.740519943,18.76291573,7.689030587,,,3.299200308,3.660705143,,,,,,,,,
28.35746115,11.13669302,2.845111154,17.22076813,8.291581866,,,11.27964108,6.329492212,,,,,,,,,
28.95243345,8.164599854,2.880221208,20.7878336,5.284378646,,,0.043492174,0.241429747,,,,,,,,,
29.24069876,7.50525929,2.892416387,21.73543947,4.612842903,,,1.33669126,1.352314905,,,,,,,,,
28.46546912,8.597625124,2.713808625,19.867844,5.883816499,,,0.506149471,0.011681901,,,,,,,,,
29.33992967,9.915547755,3.040817185,19.42438192,6.87473057,,,1.333803032,1.207794215,,,,,,,,,
27.28536589,9.432198563,2.98216823,17.85316733,6.450030333,,,7.431722044,0.454676008,,,,,,,,,
29.56175477,10.45641162,3.520043149,19.10534315,6.936368471,,,2.172506998,1.347073172,,,,,,,,,
29.70439021,8.677079949,2.749884759,21.02731026,5.92719519,,,0.200725899,0.022940596,,,,,,,,,
28.94817614,10.33228379,2.834129444,18.61589235,7.498154346,,,3.854913923,2.966733031,,,,,,,,,
30.74678113,10.25012745,2.720389275,20.49665368,7.529738175,,,0.006828071,3.07653185,,,,,,,,,
27.79140586,10.64431286,3.10881336,17.147093,7.5354995,,,11.77994756,3.096775823,,,,,,,,,
30.31807715,7.469000047,2.764847101,22.8490771,4.704152946,,,5.151952463,1.14828522,,,,,,,,,
28.23604862,8.570473071,3.012491719,19.66557555,5.557981352,,,0.834866461,0.047416066,,,,,,,,,
26.2192356,8.1595876,2.859669026,18.059648,5.299918574,,,6.34857475,0.226399993,,,,,,,,,
30.91573188,8.465711699,2.973116178,22.45002018,5.492595521,,,3.499647045,0.080167204,,,,,,,,,
28.99857974,9.78533335,2.790547352,19.21324639,6.994785998,,,1.866063728,1.486088611,,,,,,,,,
31.98384376,8.687300857,2.960791156,23.2965429,5.726509701,,,7.383486049,0.002422998,,,,,,,,,
30.4600436,8.186073358,3.29792284,22.27397024,4.888150518,,,2.871955286,0.787803828,,,,,,,,,
26.33042112,7.537087127,2.641528669,18.79333399,4.895558458,,,3.189623933,0.77470838,,,,,,,,,
26.84872156,7.958091726,2.784179402,18.89062983,5.173912324,,,2.851559043,0.362188917,,,,,,,,,
28.25961704,8.106766833,2.939703506,20.15285021,5.167063327,,,0.181847333,0.37047957,,,,,,,,,
31.30092427,6.735423921,2.757124521,24.56550035,3.9782994,,,15.88990626,3.230769907,,,,,,,,,
28.25356364,8.694054576,2.549993542,19.55950906,6.144061034,,,1.039944634,0.135665057,,,,,,,,,
